review,stars,label,food,cleanness,price,view,workers,space
سلام من یک ماه پیش در هتل شمس قشم بودم واقعا هتل خوبی بود...از لحاظ نزدیکی به دریا ومراکز خرید..و از همه مهمتر پرسنل های خیلی خوبی داشت مخصوصا اون دوتا پسر که بخش کافی شاپش بودن خیلی بچهای خوبی بودن..من ب این هتل امتیاز کامل میدم .,5,2,,,,,,
سلام بنده با همراه خانوادم چهار روز در این هتل اقامت داشیم از راز نظر ترانسفر فرودگاهی بسیار عالی برخورد پرسنل عالی برخورد رستوران حرف نداشت بنده چهار بار سفر کیش داشتم هیچ هتلی خدمات فلامینگو را ندارد بخصوص گلبرگ دوست داشتنی عزیز هر موقع تماس گرفتیم با کمال میل به ما سرویس داد سفر بدی ما اگر کیش باشه حتما هتل فلامینگو,4,2,,,,,,
ما از تاریخ ۵اسفند ۹۶تا۸اسفند ۹۶ در این هتل اقامت داشتیم مزایا: نظافت و تمیزی عالی، صبحانه تمیز متنوع و خوشمزه، فضا و ساحل اختصاصی بسیار زیبا، فضا و ساحل اختصاصی بسیار زیبا، برخورد کارکنان عالی،  معایب: دوری از شهر قشم تقریبا ۸کیلومتر,5,2,,,,,,
من 2روز در اين هتل به همراه همسرم اقامت داشتم هتل بسيار خوبي بود اتاقهاي بسيار تميزي داشت يه مقداربرخورد پرسنل هم جالب نبود,5,2,,,,,,
سفر بسیار خوبی بود هتل بسیار زیبا و قشنگی بود و من از اقامت خود لذت بردم اتاقهای شیک و زیبا- غذاهای متنوع,5,2,,,,,,
خیلیییییییییییییییییییی خیلی جای خوبی بود خیلی خوشگذشت,5,2,,,,,,
منو همسرم 3 شب تو این هتل بودیم هتل بدی نیست ولی می تونه بهتر باشه، صبحانه اصلا مناسب نبود، قیمتش خوب بود، پرسنل نسبتا خوب، تمیزی و زیبایی متوسط,5,2,,,,,,
یکی از بهترین هتل های مشهده فقط یکم از حرم دوره,4,2,,,,,,
من از اين هتل ديدن كردم بسيار عاليه و باز ميخوام برم اونجا,4,2,,,,,,
هتل زیباییه برخورد پرسنل هم خوب بود اما می تونه بهتر باشه، ما سه شب اقامت داشتیم از همین سایتم رزرو کرده بودیم,5,2,,,,,,
هتل مارینا کیش واقعا حرف نداره، فقط یخورده قیمتش بالاست ولی میارزهه,5,2,,,,,,
یکی از بهترین هتل هایی که تاحالا رفتم هتل پارس بوده، محیط تمیز، امکانات کامل، پرسنل مودب، غذاهای با کیفیت، کلا همه چیزش خوب بود، ممنونم,4,2,,,,,,
به نسبت 3 ستاره بودن امکانات مناسبی داره، هتل آرومیه و در کل ما مشکلی نداشتیم، اگر هتل های 5 ستاره یا 4 ستاره رو بخاطر قیمت های بالا نمیتونید برید من این هتل رو توصیه می کنم پشیمون نمی شید.,5,2,,,,,,
با سلام به کلیه دوستان عزیز : من مدت 4 شب در این هتل زیبا و دل انگیز بهمراه خانواده ام اقامت داشتم و بگونه ای از رفتار پرسنل هتل راضی هستم که انتخاب بعدیم همین هتل خواهد بود و از اینجا از آقای گلبرگ ( مسوول ترانسفر بسیار با اخلاق هتل ) و آشپز بسیار عالی بنام عادل با اخلاق و رفتار خوبش ( با املت خوشمزش ) تشکر و قدردانی می کنم. لبته باید ابتدا از مدیریت هتل که همگی این پرسنل خوب و صمیمی را گرد هم جمع کرده تشکر کرد. و لازم به توضیح است که لیاقت این هتل بیشتر از 4 ستاره میباشد .,4,2,,,,,,
هتل خوبی بود ولی درحد یک 5 ستاره واقعی نیود.,4,1,,,,,,
لابی بسیار زیبا و شیک ولی اتاق لاکچری در حد یک هتل 4 ستاره بود.,4,0,,,,,,
صبحانه عالی و کیفیت غذا خوب بود ولی هزینه سالاد بار اجباری روی فاکتور حساب میشد هرچند که از سالاد بار استفاده نکرده باشید. سالاد بار بسیار هم بی کیفیت بود و ارزش 35 هزار تومن اجباری رو نداشت و ما ترجیح دادیم که از رستوران هتلهایی که قبلا رفته بودیم استفاده کنیم.,4,2,,,,,,
دیگه به این هتل نمیرم و به کسی هم برای رفتن توصیه نمیکنم.,4,0,,,,,,
