index,sid,text,polarity,file
0,rev-1,اینک قصد داریم پرینتر دیگری از پرینترهای لیزری کمپانی Hp را معرفی کنیم.,0,data/main/HP LaserJet M1132.xml
1,rev-2,پرینتری چند کاره از رده‌ی Entry Level یا سطح مبتدی.,0,data/main/HP LaserJet M1132.xml
2,rev-3,به هر صورت اکنون ما در دنیایی زندگی می‌کنیم،  که کاربران پرینترها انتظارات بالاتری علاوه بر گرفتن پرینت ساده از دستگاه خود دارند.,0,data/main/HP LaserJet M1132.xml
3,rev-4,به صورتی که توانایی کپی کردن،  اسکن،  فکس،  پرینت عکس،  پرینت دورو،  قابلیت اتصال از طریق Bluetooth و WiFi را نیز باید داشته باشد.,0,data/main/HP LaserJet M1132.xml
4,rev-5,به هر صورت معمولا چیزی که بیشتر کاربران از پرینتری پر کار در این سطح قیمت برای خانه و یا دفتر کار انتظار دارند،  تولید پرینت های با کیفیت بالا،  با سرعت زیاد و البته هزینه‌ی نگهداری پایین است.,+2,data/main/HP LaserJet M1132.xml
5,rev-6,همچنین عمل اسکن را هم باید خیلی خوب انجام دهد.,0,data/main/HP LaserJet M1132.xml
6,rev-7,M1132 نیز پرینتری است که به نظر یکی از بهترین‌ها برای ایفای این نقش می‌باشد.,+1,data/main/HP LaserJet M1132.xml
8,rev-9,همانطور که گفتیم،  M1132 پرینتری لیزری،  تک رنگ و چند کاره است.,0,data/main/HP LaserJet M1132.xml
9,rev-10,ابعاد آن 415 x 265 x 250 میلی متر می‌باشد و وزن آن نیز به حدود 7 کیلوگرم می‌رسد که وزنی نسبتا کم محسوب می‌گردد.,+1,data/main/HP LaserJet M1132.xml
10,rev-11,این پرینتر بدنه‌ی مشکی استایلیش و البته نه خیلی لوکس دارد و سعی شده که کنترل‌ها و اتصالات کمی هم داشته باشد.,0,data/main/HP LaserJet M1132.xml
11,rev-12,سینی جلویی توانایی نگهداری 150 برگ کاغذ A4 را دارد و درست در بالای آن،  سینی خروجی قرار گرفته است که به صورت همزمان 100 کاغذ می‌توانند درون آن جای گیرند.,0,data/main/HP LaserJet M1132.xml
12,rev-13,پرینت دورو باید به صورت دستی انجام شود.,0,data/main/HP LaserJet M1132.xml
13,rev-14,همچنین USB Flash card یا شیار کارت حافظه هم وجود ندارد.,0,data/main/HP LaserJet M1132.xml
14,rev-15,علاوه بر این ها،  اتصالات WiFi و Ethernet هم وجود ندارد.,0,data/main/HP LaserJet M1132.xml
